County,State,Population,Uninsured
Ross,Ohio,71768,9164
Sandusky,Ohio,59788,6506
Scioto,Ohio,76219,12048
Seneca,Ohio,55537,6155
Shelby,Ohio,48808,5075
Stark,Ohio,370142,44595
Summit,Ohio,536067,62084
Trumbull,Ohio,204973,27267
Tuscarawas,Ohio,91395,11542
Union,Ohio,49357,4015
Van Wert,Ohio,28395,2566
Warren,Ohio,210233,15118
Washington,Ohio,60860,7020
Wayne,Ohio,113423,17586
Williams,Ohio,36509,4224
Wood,Ohio,125802,9940
Wyandot,Ohio,22271,2306
Adair,Oklahoma,22334,6417
Beckham,Oklahoma,20391,4026
Bryan,Oklahoma,42634,9681
Caddo,Oklahoma,27891,6790
Canadian,Oklahoma,117331,13789
Carter,Oklahoma,47204,9174
Cherokee,Oklahoma,47142,12316
Cleveland,Oklahoma,255828,35421
Comanche,Oklahoma,111893,18371
Creek,Oklahoma,69754,13720
Custer,Oklahoma,27451,6513
Delaware,Oklahoma,41039,9044
Garfield,Oklahoma,58621,9498
Garvin,Oklahoma,27094,5628
Grady,Oklahoma,52142,9130
Jackson,Oklahoma,24690,4519
Kay,Oklahoma,45409,8628
Le Flore,Oklahoma,49033,11911
Lincoln,Oklahoma,33903,6467
Logan,Oklahoma,42602,7191
McClain,Oklahoma,34927,5469
McCurtain,Oklahoma,32708,8084
McIntosh,Oklahoma,20110,4296
Mayes,Oklahoma,40846,9089
Muskogee,Oklahoma,68034,14618
Oklahoma,Oklahoma,720267,142927
Okmulgee,Oklahoma,39324,6691
Osage,Oklahoma,46320,7992
Ottawa,Oklahoma,31559,6439
Payne,Oklahoma,76632,11238
Pittsburg,Oklahoma,43263,8385
Pontotoc,Oklahoma,37301,7616
Pottawatomie,Oklahoma,68139,12587
Rogers,Oklahoma,86881,11498
Seminole,Oklahoma,25086,5885
Sequoyah,Oklahoma,41523,9695
Stephens,Oklahoma,44392,7103
Texas,Oklahoma,21013,4832
Tulsa,Oklahoma,603662,113880
Wagoner,Oklahoma,73926,11475
Washington,Oklahoma,51017,7858
Benton,Oregon,85683,10240
Clackamas,Oregon,378547,46105
Clatsop,Oregon,36368,6976
Columbia,Oregon,49001,6268
Coos,Oregon,61776,9624
Crook,Oregon,20638,3241
Curry,Oregon,22191,4303
Deschutes,Oregon,159273,27720
Douglas,Oregon,106747,17488
Hood River,Oregon,22395,4316
Jackson,Oregon,203704,39841
Jefferson,Oregon,20753,4464
Josephine,Oregon,81961,14125
Klamath,Oregon,65710,11400
Lane,Oregon,351526,57247
Lincoln,Oregon,45639,8760
Linn,Oregon,116942,19602
Malheur,Oregon,28167,5985
Marion,Oregon,312424,58250
Multnomah,Oregon,742231,121847
Polk,Oregon,75622,8847
Tillamook,Oregon,24493,3637
Umatilla,Oregon,72707,13887
Union,Oregon,25434,4029
Wasco,Oregon,24883,5396
Washington,Oregon,536219,75067
Yamhill,Oregon,97614,14913
Adams,Pennsylvania,100101,9564
Allegheny,Pennsylvania,1211712,97088
Armstrong,Pennsylvania,68114,5913
Beaver,Pennsylvania,168768,13072
Bedford,Pennsylvania,48912,6053
Berks,Pennsylvania,407798,41052
Blair,Pennsylvania,125228,12308
Bradford,Pennsylvania,62183,7715
Bucks,Pennsylvania,620599,41442
Butler,Pennsylvania,182265,14006
Cambria,Pennsylvania,137904,11621
Carbon,Pennsylvania,64367,7472
Centre,Pennsylvania,151887,11181
Chester,Pennsylvania,498340,41481
Clarion,Pennsylvania,39414,4139
Clearfield,Pennsylvania,76789,7618
Clinton,Pennsylvania,38797,4260
Columbia,Pennsylvania,66257,4961
Crawford,Pennsylvania,86308,11893
Cumberland,Pennsylvania,230813,17296
Dauphin,Pennsylvania,265112,26885
Delaware,Pennsylvania,552341,48613
Elk,Pennsylvania,31408,2258
Erie,Pennsylvania,275436,25140
Fayette,Pennsylvania,132951,15292
Franklin,Pennsylvania,149191,19550
Greene,Pennsylvania,34421,3107
Huntingdon,Pennsylvania,42117,3900
Indiana,Pennsylvania,86993,9271
Jefferson,Pennsylvania,44486,5428
Juniata,Pennsylvania,24469,3452
Lackawanna,Pennsylvania,211106,20391
Lancaster,Pennsylvania,516880,70263
Lawrence,Pennsylvania,89291,8845
Lebanon,Pennsylvania,132653,14694
Lehigh,Pennsylvania,348325,39974
Luzerne,Pennsylvania,313683,31115
Lycoming,Pennsylvania,113823,12116
McKean,Pennsylvania,41132,3751
Mercer,Pennsylvania,112498,11170
Mifflin,Pennsylvania,46228,8638
Monroe,Pennsylvania,168511,21176
Montgomery,Pennsylvania,792452,52878
Northampton,Pennsylvania,295393,26219
Northumberland,Pennsylvania,89891,9835
Perry,Pennsylvania,45372,5739
Philadelphia,Pennsylvania,1522630,219339
Pike,Pennsylvania,56876,6736
Schuylkill,Pennsylvania,140888,14263
Snyder,Pennsylvania,39352,5412
Somerset,Pennsylvania,73217,7822
Susquehanna,Pennsylvania,42658,5345
Tioga,Pennsylvania,41887,5239
Union,Pennsylvania,39582,4531
Venango,Pennsylvania,53863,5509
Warren,Pennsylvania,40738,4108
Washington,Pennsylvania,206485,16795
Wayne,Pennsylvania,48983,5949
Westmoreland,Pennsylvania,359776,27221
Wyoming,Pennsylvania,27824,2709
York,Pennsylvania,431987,40097
Bristol,Rhode Island,48719,4313
Kent,Rhode Island,163968,13941
Newport,Rhode Island,79830,6982
Providence,Rhode Island,617610,84303
Washington,Rhode Island,125238,9086
Abbeville,South Carolina,24991,3575
Aiken,South Carolina,160236,25095
Anderson,South Carolina,186698,30226
Barnwell,South Carolina,22150,3212
Beaufort,South Carolina,156341,28188
Berkeley,South Carolina,178189,33535
Charleston,South Carolina,351053,59977
Cherokee,South Carolina,55071,9501
Chester,South Carolina,32573,5360
Chesterfield,South Carolina,45954,9031
Clarendon,South Carolina,33090,6818
Colleton,South Carolina,38082,7887
Darlington,South Carolina,67589,12274
Dillon,South Carolina,31336,6239
Dorchester,South Carolina,136908,20166
Edgefield,South Carolina,24007,3678
Fairfield,South Carolina,23256,3418
Florence,South Carolina,135760,21400
Georgetown,South Carolina,59585,13225
Greenville,South Carolina,455680,75301
Greenwood,South Carolina,68296,12912
Hampton,South Carolina,19486,3265
Horry,South Carolina,274797,65261
Jasper,South Carolina,24334,6357
Kershaw,South Carolina,61533,10401
Lancaster,South Carolina,76307,12883
Laurens,South Carolina,65326,11449
Lexington,South Carolina,263961,38625
Marion,South Carolina,32423,6523
Marlboro,South Carolina,25331,4547
Newberry,South Carolina,37041,5137
Oconee,South Carolina,73856,12849
Orangeburg,South Carolina,91001,18140
Pickens,South Carolina,118728,16415
Richland,South Carolina,365733,50249
Spartanburg,South Carolina,282357,50609
Sumter,South Carolina,103606,17570
Union,South Carolina,28163,4242
Williamsburg,South Carolina,32256,7984
York,South Carolina,228892,34179
Brookings,South Dakota,32095,2937
Brown,South Dakota,36328,2586
Codington,South Dakota,27125,2371
Lawrence,South Dakota,24046,3581
Lincoln,South Dakota,46461,2519
Meade,South Dakota,24408,2268
Minnehaha,South Dakota,169317,18151
Pennington,South Dakota,99692,13460
Yankton,South Dakota,20978,2184
Anderson,Tennessee,74420,9380
Bedford,Tennessee,44981,7434
Blount,Tennessee,122481,15714
Bradley,Tennessee,99249,13722
Campbell,Tennessee,40048,5883
Carroll,Tennessee,27975,3741
Carter,Tennessee,56342,8358
Cheatham,Tennessee,38781,5351
Claiborne,Tennessee,31574,3561
Cocke,Tennessee,35247,6473
Coffee,Tennessee,52345,8135
Cumberland,Tennessee,56095,9275
Davidson,Tennessee,628037,107807
Dickson,Tennessee,49706,5830
Dyer,Tennessee,37749,4463
Fayette,Tennessee,38107,4065
Franklin,Tennessee,40450,4555
Gibson,Tennessee,48786,7188
Giles,Tennessee,28922,4457
Grainger,Tennessee,22518,2988
Greene,Tennessee,67762,9405
Hamblen,Tennessee,62043,10092
Hamilton,Tennessee,337705,44132
Hardeman,Tennessee,23645,3722
Hardin,Tennessee,25588,3904
Hawkins,Tennessee,56175,6460
Henderson,Tennessee,27663,3540
Henry,Tennessee,31659,4739
Hickman,Tennessee,22936,4226
Jefferson,Tennessee,51099,7843
Knox,Tennessee,433399,51226
Lauderdale,Tennessee,24914,4599
Lawrence,Tennessee,41635,7056
Lincoln,Tennessee,33058,4164
Loudon,Tennessee,48784,5491
McMinn,Tennessee,51456,7636
McNairy,Tennessee,25764,3887
Macon,Tennessee,22120,3955
Madison,Tennessee,97083,14280
Marion,Tennessee,27960,4373
Marshall,Tennessee,30522,5394
Maury,Tennessee,80272,10040
Monroe,Tennessee,44369,7277
Montgomery,Tennessee,166643,20850
Morgan,Tennessee,18753,2405
Obion,Tennessee,31116,4757
Overton,Tennessee,21871,2571
Putnam,Tennessee,72162,11832
Rhea,Tennessee,31647,4257
Roane,Tennessee,53296,6720
Robertson,Tennessee,66115,8732
Rutherford,Tennessee,266635,35598
Scott,Tennessee,21946,4601
Sevier,Tennessee,90578,19161
Shelby,Tennessee,922765,147722
Sullivan,Tennessee,154915,19950
Sumner,Tennessee,162217,20372
Tipton,Tennessee,60317,7047
Warren,Tennessee,39359,6719
Washington,Tennessee,122504,15671
Weakley,Tennessee,34355,4529
White,Tennessee,25639,3826
Williamson,Tennessee,187792,11898
Wilson,Tennessee,115866,13234
Anderson,Texas,46817,10500
Angelina,Texas,84788,16239
Aransas,Texas,23071,4677
Atascosa,Texas,45247,9746
Austin,Texas,28341,5583
Bandera,Texas,20357,4385
Bastrop,Texas,72500,15884
Bee,Texas,24340,4975
Bell,Texas,291773,47332
Bexar,Texas,1717375,348188
Bowie,Texas,88027,16591
Brazoria,Texas,309369,61885
Brazos,Texas,194118,31278
Brown,Texas,36710,7023
Burnet,Texas,42784,8599
Caldwell,Texas,36158,9416
Calhoun,Texas,21228,3617
Cameron,Texas,409149,140401
Cass,Texas,29828,6313
Chambers,Texas,35386,5684
Cherokee,Texas,48829,11845
Collin,Texas,808959,120776
Colorado,Texas,20420,4682
Comal,Texas,110716,18205
Cooke,Texas,37906,8061
Coryell,Texas,61250,6733
Dallas,Texas,2389874,662346
Denton,Texas,682501,109161
DeWitt,Texas,18523,4007
Ector,Texas,138957,39205
Ellis,Texas,151116,29360
El Paso,Texas,792650,223269
Erath,Texas,38278,9805
Fannin,Texas,31239,6262
Fayette,Texas,24215,3816
Fort Bend,Texas,603254,111791
Galveston,Texas,292244,51487
Gillespie,Texas,24561,4492
Gray,Texas,20908,4653
Grayson,Texas,120080,25163
Gregg,Texas,120197,26486
Grimes,Texas,23559,4537
Guadalupe,Texas,133654,21172
Hale,Texas,33704,7076
Hardin,Texas,54608,9875
Harris,Texas,4157279,1101813
Harrison,Texas,65921,14883
Hays,Texas,162037,29467
Henderson,Texas,77994,18719
Hidalgo,Texas,787649,287687
Hill,Texas,34478,7367
Hockley,Texas,22814,5283
Hood,Texas,50948,10573
Hopkins,Texas,34753,8572
Houston,Texas,20829,4618
Howard,Texas,29733,6371
Hunt,Texas,85799,19123
Hutchinson,Texas,21779,4955
Jasper,Texas,35050,8732
Jefferson,Texas,237586,56121
Jim Wells,Texas,40767,9644
Johnson,Texas,149851,35359
Jones,Texas,12916,2528
Kaufman,Texas,104218,22223
Kendall,Texas,34307,5033
Kerr,Texas,48720,9653
Kleberg,Texas,31274,7737
Lamar,Texas,48968,9563
Lampasas,Texas,19265,4050
Liberty,Texas,70287,17508
Limestone,Texas,22349,5238
Lubbock,Texas,279008,51948
McLennan,Texas,233321,44672
Matagorda,Texas,36172,9247
Maverick,Texas,54321,19949
Medina,Texas,43544,7876
Midland,Texas,140206,30494
Milam,Texas,24086,4588
Montgomery,Texas,469747,91001
Moore,Texas,21922,5278
Nacogdoches,Texas,64557,15214
Navarro,Texas,47193,11377
Nueces,Texas,338903,70223
Orange,Texas,81774,17371
Palo Pinto,Texas,27697,6812
Panola,Texas,23655,4096
Parker,Texas,115462,21443
Polk,Texas,41047,8894
Potter,Texas,116890,32384
Randall,Texas,122416,19995
Rockwall,Texas,80374,12213
Rusk,Texas,48852,10706
San Jacinto,Texas,26651,6228
San Patricio,Texas,63945,13809
Shelby,Texas,25399,7117
Smith,Texas,210513,45125
Starr,Texas,60914,24406
Tarrant,Texas,1832366,398135
Taylor,Texas,128544,24748
Titus,Texas,32210,8410
Tom Green,Texas,106723,21533
Travis,Texas,1055358,210238
Tyler,Texas,19478,4072
Upshur,Texas,39172,8219
Uvalde,Texas,26200,6348
Val Verde,Texas,46569,11597
Van Zandt,Texas,51826,12243
Victoria,Texas,86797,18489
Walker,Texas,50043,8771
Waller,Texas,43685,12050
Washington,Texas,33307,5679
Webb,Texas,252899,89402
Wharton,Texas,40991,10262
Wichita,Texas,118243,23291
Willacy,Texas,19443,6083
Williamson,Texas,438046,65983
Wilson,Texas,43106,6752
Wise,Texas,58914,12520
Wood,Texas,40958,7898
Box Elder,Utah,49742,5251
Cache,Utah,113857,14389
Carbon,Utah,21131,2765
Davis,Utah,308757,29239
Iron,Utah,46055,10574
Salt Lake,Utah,1039472,171605
Sanpete,Utah,25753,4707
Sevier,Utah,20276,3886
Summit,Utah,37198,5048
Tooele,Utah,58368,6319
Uintah,Utah,33054,6489
Utah,Utah,526722,71788
Wasatch,Utah,24291,4076
Washington,Utah,140327,24009
Weber,Utah,231552,37378
Addison,Vermont,36597,2685
Bennington,Vermont,36340,2177
Caledonia,Vermont,30742,2735
Chittenden,Vermont,156573,8537
Franklin,Vermont,47530,3513
Lamoille,Vermont,24578,2589
Orange,Vermont,28878,2311
Orleans,Vermont,26544,2684
Rutland,Vermont,60526,4604
Washington,Vermont,59022,4119
Windham,Vermont,43795,3187
Windsor,Vermont,55606,3722
Accomack,Virginia,32838,6280
Albemarle,Virginia,99517,8894
Amherst,Virginia,31834,4548
Arlington,Virginia,211430,24661
Augusta,Virginia,69643,8069
Bedford,Virginia,68982,6948
Botetourt,Virginia,32775,1689
Buchanan,Virginia,22920,2550
Campbell,Virginia,54577,7853
Caroline,Virginia,27071,4243
Carroll,Virginia,29779,4833
Chesterfield,Virginia,317354,35692
Culpeper,Virginia,45649,6528
Dinwiddie,Virginia,27610,4578
Fairfax,Virginia,1089004,139929
Fauquier,Virginia,65511,6609
Fluvanna,Virginia,24463,2298
Franklin,Virginia,56020,7773
Frederick,Virginia,78221,8792
Gloucester,Virginia,36226,4080
Goochland,Virginia,19621,1398
Halifax,Virginia,35276,5281
Hanover,Virginia,99361,5862
Henrico,Virginia,308402,38850
Henry,Virginia,52890,9315
Isle of Wight,Virginia,34917,3374
James,Virginia,66542,4701
King George,Virginia,23529,1238
Lee,Virginia,24174,3757
Loudoun,Virginia,324507,29484
Louisa,Virginia,33275,5327
Mecklenburg,Virginia,30688,4376
Montgomery,Virginia,94296,8843
Orange,Virginia,33404,4521
Page,Virginia,23781,3883
Pittsylvania,Virginia,62364,8873
Powhatan,Virginia,25044,2051
Prince Edward,Virginia,22320,3243
Prince George,Virginia,30534,2692
Prince William,Virginia,410112,57295
Pulaski,Virginia,33915,4452
Roanoke,Virginia,91261,6553
Rockbridge,Virginia,22191,2932
Rockingham,Virginia,76556,11885
Russell,Virginia,28451,5145
Scott,Virginia,22467,2708
Shenandoah,Virginia,41929,5668
Smyth,Virginia,31365,4640
Spotsylvania,Virginia,123229,15149
Stafford,Virginia,125569,11106
Tazewell,Virginia,43716,6921
Warren,Virginia,37423,4773
Washington,Virginia,54299,6424
Wise,Virginia,38966,6504
Wythe,Virginia,28932,4705
York,Virginia,62731,3631
Alexandria,Virginia,140313,22037
Charlottesville,Virginia,43287,5093
Chesapeake,Virginia,215357,21260
Danville,Virginia,41756,6371
Fairfax,Virginia,22595,2801
Fredericksburg,Virginia,25665,3865
Hampton,Virginia,131500,15800
Harrisonburg,Virginia,49107,6952
Hopewell,Virginia,22204,4389
Lynchburg,Virginia,74775,10374
Manassas,Virginia,39245,8589
Newport News,Virginia,171265,25636
Norfolk,Virginia,219848,38013
Petersburg,Virginia,31269,7269
Portsmouth,Virginia,91439,12274
Richmond,Virginia,204425,34757
Roanoke,Virginia,95698,16463
Salem,Virginia,24381,2989
Staunton,Virginia,23370,3514
Suffolk,Virginia,82224,8332
Virginia Beach,Virginia,418854,44617
Waynesboro,Virginia,20931,2877
Winchester,Virginia,26294,4787
Asotin,Washington,21560,3139
Benton,Washington,178421,25319
Chelan,Washington,72685,15242
Clallam,Washington,70248,10074
Clark,Washington,430397,59942
Cowlitz,Washington,101348,13597
Douglas,Washington,38729,8041
Franklin,Washington,80951,16602
Grant,Washington,89962,19141
Grays Harbor,Washington,69289,11977
Island,Washington,74465,7946
Jefferson,Washington,29056,3962
King,Washington,1959243,244501
Kitsap,Washington,240385,27137
Kittitas,Washington,41168,5883
Klickitat,Washington,20549,2971
Lewis,Washington,74883,11304
Mason,Washington,59417,10506
Okanogan,Washington,40747,8695
Pacific,Washington,20563,3565
Pierce,Washington,779675,110391
Skagit,Washington,116474,18784
Snohomish,Washington,714129,95710
Spokane,Washington,465008,61487
Stevens,Washington,43208,6660
Thurston,Washington,250276,30661
Walla Walla,Washington,56213,9432
Whatcom,Washington,202051,26429
Whitman,Washington,45236,4366
Yakima,Washington,243034,60059
Berkeley,West Virginia,104978,14824
Boone,West Virginia,24398,3314
Brooke,West Virginia,23739,3208
Cabell,West Virginia,95168,13795
Fayette,West Virginia,44426,8008
Greenbrier,West Virginia,35028,5127
Hampshire,West Virginia,23305,5816
Hancock,West Virginia,30183,4150
Harrison,West Virginia,68604,10817
Jackson,West Virginia,29014,3607
Jefferson,West Virginia,54004,6381
Kanawha,West Virginia,190734,24897
Lincoln,West Virginia,21571,3074
Logan,West Virginia,35849,5928
McDowell,West Virginia,21311,4188
Marion,West Virginia,56034,7718
Marshall,West Virginia,32433,3954
Mason,West Virginia,26527,3427
Mercer,West Virginia,61987,8970
Mineral,West Virginia,27914,5345
Mingo,West Virginia,26402,4418
Monongalia,West Virginia,97018,12308
Nicholas,West Virginia,26005,4062
Ohio,West Virginia,43667,5320
Preston,West Virginia,31480,4851
Putnam,West Virginia,55690,7219
Raleigh,West Virginia,75900,10246
Randolph,West Virginia,27604,3644
Upshur,West Virginia,24183,3879
Wayne,West Virginia,41881,6552
Wood,West Virginia,86234,12206
Wyoming,West Virginia,23444,2626
Adams,Wisconsin,19491,1811
Barron,Wisconsin,45285,4620
Brown,Wisconsin,247360,22668
Calumet,Wisconsin,49224,2253
Chippewa,Wisconsin,60847,5009
Clark,Wisconsin,34110,7525
Columbia,Wisconsin,55211,4508
Dane,Wisconsin,492280,33394
Dodge,Wisconsin,83390,6089
Door,Wisconsin,27485,2259
Douglas,Wisconsin,43317,5380
Dunn,Wisconsin,43613,4036
Eau Claire,Wisconsin,98867,8690
Fond du Lac,Wisconsin,100140,8282
Grant,Wisconsin,50042,4934
Green,Wisconsin,36572,2748
Iowa,Wisconsin,23593,1717
Jackson,Wisconsin,19103,1989
Jefferson,Wisconsin,83482,6207
Juneau,Wisconsin,25755,2966
Kenosha,Wisconsin,165411,18186
Kewaunee,Wisconsin,20433,1305
La Crosse,Wisconsin,114263,8206
Langlade,Wisconsin,19526,2249
Lincoln,Wisconsin,27958,1961
Manitowoc,Wisconsin,80309,5682
Marathon,Wisconsin,133109,12165
Marinette,Wisconsin,40937,3482
Milwaukee,Wisconsin,942971,118189
Monroe,Wisconsin,44012,5909
Oconto,Wisconsin,37293,3048
Oneida,Wisconsin,35213,3377
Outagamie,Wisconsin,176347,12333
Ozaukee,Wisconsin,86062,3669
Pierce,Wisconsin,40616,3412
Polk,Wisconsin,43474,4690
Portage,Wisconsin,69829,5555
Racine,Wisconsin,190767,19939
Rock,Wisconsin,158823,17206
St. Croix,Wisconsin,84171,7100
Sauk,Wisconsin,61640,6192
Shawano,Wisconsin,41114,4351
Sheboygan,Wisconsin,112735,8925
Taylor,Wisconsin,20401,2135
Trempealeau,Wisconsin,28612,2592
Vernon,Wisconsin,29704,5039
Vilas,Wisconsin,21184,2122
Walworth,Wisconsin,101588,10948
Washington,Wisconsin,131359,7545
Waukesha,Wisconsin,388112,19028
Waupaca,Wisconsin,50828,3628
Waushara,Wisconsin,23294,2686
Winnebago,Wisconsin,162666,13034
Wood,Wisconsin,73937,4315
Albany,Wyoming,36663,4425
Campbell,Wyoming,46563,8002
Fremont,Wyoming,40099,8601
Laramie,Wyoming,90067,11951
Natrona,Wyoming,75767,11526
Park,Wyoming,28235,3759
Sheridan,Wyoming,28835,4034
Sweetwater,Wyoming,44047,6710
Teton,Wyoming,21396,5170
Uinta,Wyoming,20852,2768